Mwaghavul,pl,PoS,IPA,Gloss,Examples
doghon,,dōyōn,yesterday,An jì wul a doghon I arrived yesterday. also tidoghon,
doghon tagham,,dōyōn tàyàm,last year,Reep ni ra yaghal dik doghon tagham The maiden got married last year. also gyet doghon tagham,
dong,,doŋ,one; number 1,"Used when counting. Dong, vul, kún ... One, two, three mindong ... cf",
dùbúm- dùbúm,,dùbúm dùbúm,sound of a building falling to the ground,"lu ni ship sham táa dùbúm-dubúm the house collapsed and fell to the ground, dùbum- dùbum",
dùbum- dùbúm,,dùbúm dùbúm,sound of s.o.'s feet as they hit the swimming water when,"wuri nkaa kam taa lung dùbúm- dùbum he is learning to swim, dùbum-dùbúm",
dughul,,dùyùl,hooked stick,hung on the shoulder by a hunter or horseman used as a weapon. Daa waa mwaan shi Бе ri táa tu daafwan dughul Father was returning from a journey and he killed a hare with a hooked stick,
dughul,,dùyùl,s.o. who is flat footed,ra a dughul she is flat-footed a person. Also shii dughul,
dughul sar,,dùyúl sár,fist,Gwar ni shoor an shi dughul sar The man hit me with his fist,
dughul tukas,,dùyúl túkás,T-shaped stick,used for threshing millet. Dughul tukas ni kì tep The millet threshing stick is broken,
dughum,,dūɣūm,antelope,with big horn used for music; roan antelope. Dughum long lwaa zam The roan antelope has a lot of meat,
dughun,dwaghan,dùyùn; dwāyān,to annihilate; to destroy completely; use up seeds without reserving any for future propagation,Taji wu dughun cirem ni kas Don't use up the seeds without reserving some for future propagation,
dughur,dwaghar,dùyùr; dwāyār,to block; to debar; to prevent; to prohibit; to obstruct,A nook dughur ar ngan Stop blocking my way,
dughur zai,,dùyùr zà¹,ceremony to appease the parents following marriage by capture,lit. 'to block the space between two houses'. This is done to right what is a 'wrong' and formalise the marriage after the fact. Ba dughur zai kudi ki gul kaa yam sì kas. Dughurzai is no longer popular as before,
dughurii,,dúyúríí,yam; tuber,Dioscorea rotundata and other Dioscorea spp. Daa ɓwan dughurii wus Father dug up yams and roasted them,
dùghùrii kiir,,dùyurii kiir,cassava; manioc,Manihot esculenta. lit. 'yam of the silk- cotton tree'. The leaves of cassava resemble those of the silk-cotton tree. Dùghùrii kiir ni pan dèet The cassava is a bit bitter,
duk caan,,dùk fáán,iron shaft of local hoe,Duk caan ni gyar shwàl The shaft of the hoe is too long,
dukul,,dúkúl,place where the head of the family hides his foodstuffs,Dukul wàar mmat mo a děl A man's store room is out of bounds to women,
dukúlum,,dùkúlùm,heavy stone hammer used by blacksmith,Dukúlum piin sar nri A stone hammer caught his hand,
dukùlum,,dùkùlùm,person academic cognition with very poor,Gwar ni a dukulum The man is a dull person,
dul,dires,"dūl, dīrēs",to pull; to manipulate limb; to rectify a dislocation,Ri yàa sar fira dul He held and pulled her hand,
dul kom,,dül köm,to warn; to discipline; to admonish by administering a form of punishment,lit. 'to pull ear'. Nyemnan mo dul kom nwát ni Elders punished the thief,
dulpoo,,dūlpòò,to grimace; to frown; to pull a face,lit. 'to pull mouth'. Yií dulpoo a we ye? Who are you being rude to?,
dùlùm,,dùlùm,to be blunt (knife etc.); to make s.t. blunt,Taji a dùlùm cuk ni kas Don't make the knife blunt,
dulungkat,,dùlúŋkāt,somersault performed by children while swimming,Ri man dulungkat zam He is very good at somersault during swimming. also dilungkat and daalungkat,
dum,,dùm,to fill a place with smoke; to suffocate with smoke,Dyeel Smoke her dum ra suffocated,
dum,,dùm,to cook cocoyam or potato,in a sealed pot without water. Jep ni mo dum laawur ki mo se di The children cooked potatoes in a waterless pot and ate them,
dum,,dùm,to nurse a premature child to maturity in a strictly warm facility,Làa ni sham mpál ɓe mo dum ni The child was born prematurely and was nursed by warmth,
dun,,dùn,stammer; stutter,Dun firi ni cii nni His stammer is terrible,
dung,,dúŋ,river; stream; rivulet; rill brook,Mee dung di kus ki tulu funu There is a stream close to our house,
dung,,dún,growing millet etc. riverside soil suitable for,"Dung ni ret kàs zam The riverside soil is very good for millet. cf. jing, garwan, dung, kwaghas, pàng, pér, dyees nweel",
dùng càn,,dùn tfàn,stream beside which boys are circumcised,Tum ni mo pu se shit mpèo dùng càn The sheep are grazing beside the circumcision stream. cf. bòng càn,
Dùng Pama,,dùŋ pámà,Spanish flu; 1918 pandemic flu,that killed hundreds of people between 1918 and 1920. Ba gyet Dùng Pama ni twa gurum mo jir kas The Spanish flu did not kill all people,
Dùng Wuhan,,dùn wùhân,coronavirus disease 2019; Covid-19 of,Originated in 2019 in Wuhan in the Hubei province of China and killed thousands of people across the globe in few months. Dùng Wuhan ni ɓyaal a kaa gyet Dùng Pama si Covid-19 is as deadly as the Spanish flu,
dup,,dúp,penis; male genitals; prick,Dup ki biring ni aase ngòndòs The genitals of a stallion are very big,
dup ngang,,"dùp ""gàn",central part of the shoot of fan palm,"eaten either roasted or cooked. Dup ngang deet The central part of the fan palm shoot is bitter. Also myeer ngang, mbyol ngang",
dur,,dùr,to perform a task which is better done by more people,"mo yit dak ni di mmo mmusut, dee mo dur dipòo they were left to do the work alone, and they struggled hard at it. Mo dur nkaa ni mpeeku ni kyes di they worked hard at it to complete it. Also tus kwai",
durum,,dūrūm,small upper chamber of a hut,A dome-shaped construction to protect the contents from fire. The head of the household often hid valuable things here. Ba jaghas mo mak del ndighin durum ni kas Rats could not enter the dome store,
dut,dwat,"dùt, d'àt",to be short; to be dwarfed,Mat ni dut a kaa matyil sì The woman is as short as Earth's mother,
dwaghar,,"d""āyār",to block (pl.),Mo tap dwaghar luù jaghas ni mo. They rightly blocked the rats' holes. cf. dughur sg,
dwang,,dwaŋ,self-centred stubborn person person,Làa ni a dwang The child is a stubborn person,
dwáng,,dwáŋ,smallpox,"Dwáng a ɓóghón Smallpox is a plague. also mubin, ngorzol",
dwat,,dwāt,to be diminutive; dwarf (pl.),Das mini mo dwat aase Those people are very dwarf. cf. dut sg,
dyaghap,,d'āyāp,"apply to excessively ointment, body cream, lotion, pomade",Làa ni dyaghap yit shi mwòor pwos The child excessively rubbed in body cream,
daa,,dāā,dish; calabash; bowl,Daa ni kì piin The bowl is broken,
daa,,dāā,linear measurement about 6 ft. used to describe length of a mat,Teng ni a daa mindong The rope is one mat long,
daa diides,,dāā diíděs,large calabash used to bring food during marriage rites,larger than dudak. Mo le se ngurum ni mo a ndighin daa diides The people were served food in a large calabash. Also called nkirak daa,
daa dukum,,dāā dūkum,calabash formerly kept in every compound filled with charms and used to protect members of the family,Ba tulu furu ki ɗaa ɗukum kas Their home has no protective calabash,
daa dukwághál,,dāā dūk™áɣál,calabash with nodules on the back,Ba daa dukwághál milam kas The nodule calabash is not slippery,
daa duloot,,dǎā dūlóót,U-shaped calabash,Mo cin wáar mmizep ni mo a ndighin daa duloot The guests were served corn beverage in a U- shaped calabash,
daan,,dāān,to carefully light fire; to kindle,Mat ni daan wus ku ra cèt gwóm di The woman kindled a fire so as to cook porridge,
daan,,daan,to nurse; to nurture a child to adulthood,A mat di daan an ndiisì This is the woman who nursed me to maturity,
daar,,daār,to panic; to tremble; to shiver,Taji wu daar kas Don't panic,
daar,,dààr,trembling; panicking; shivering,Ba daar mɓam mun kas Panic will not help us,
dagham,,dǎyám,throat; gullet,Àm ni meen dagham nra The water scalded her throat. cf. féel,
ɗaghar,I,dǎyár,hail; ice blocks; snow,Daghar gyar zughum Hail is too cold,
Dai,,,hunting expedition of Fwangkoo Bijer clan in Panyam district,"Includes areas like Daika, Nghiktup. These expeditions were organised to check the growth of wild animals in the area, but it was also an opportunity for men to demonstrate their horsemanship, bravery, etc. which were prerequisites for having/choosing a wife. Originally called Dèr Ngang which the Hausa later changed to Daika. Dai ni a didaar The Dai hunting festival is tomorrow",
dak,duk,dák,to prepare; to maintain,Wu duk cirem ni ku pár mu kyéen di Maintain the seeds so we use them one day,
dak,,ďák,to repair; make changes; to fix,Mo kì dak poolu diiwat ni They have repaired the damaged door,
dak,,dak,just; simply; as expected,"kaadi mo doo àm nkaa làa ni be wuri sham yaghal dak kùràsh when they poured water on the boy he got up suddenly mpèe des kì lée ni dee mo gishishásh ki ni dak Due to the size of the load, they had to struggle gishishash to lift it a zonzón a so ku mo tu gha di dak You are following them zonzón and they are going to kill you Doghon an sat nne taji a so kas. A so dak. Yesterday I asked you not to go. Now, you can go as planned",
dak,,dāk,only; just,Biring ni mo a vul dak The horses are two only,
ďak,,dák,work; job; occupation; employment,Dak ni shwal The work is hard,
dak (sak),dak (suk),"dák sāk, dák sūk",to prepare oneself,+ pronoun. Wu ďak suk mpèe kook ni Prepare yourselves for the dance,
dak aapoo,,dak ààpòò,miracle; wonder; marvel,lit. 'work of the bare mouth' Diisì a dak aapoo This is a miracle,
dak cìn,,dak tfin,occupation; vocation career,Dak cin firi a sakmaar occupation His is farming. cf. mbii cin,
dal,dilang,dál; dilāŋ,to swallow; to ingest,Ba làa ni mak dal yen kas The child cannot swallow tablets,
ɗal lii,dilang ~,dál lìì,to conclude that s.t. you desire will succeed or has succeeded,"swallow lit. 'to saliva'. Mun kì dal lii nne ri kì kàt dak ni, dang ntan ba ni aasi kas We had concluded that",
dal liis,,dál líís,to die,"he had got the job, but it is not so lit. 'to tongue'. swallow (idiom). Koghorong dal liis A hero has died",
dang,,daŋ,to beg; to pray,Mu dang ri Let's beg him,
dang,,dan,water monitor,Varanus niloticus. Lwàa dang ni sháng zam The meat of the water monitor is very delicious. Hausa guza,
dáng,,dan,begging; pleading,Dáng funu a mindong Our plea is one,
dáng,,dǎn,before,Nyem dak ni mo còn a hàt-hàt đáng mo kyes ɗak ni. The workers had to really struggle before they finished the work,
dáng,,dán,and; with,usually conjoins two verbs. Jan sese đáng ri shwaa am zak Jan ate and he drank water too,
dang ... nkusuk neen,,"dan ""kūsūk ηέξη",to beg s.o. earnestly,dang + + nkusuk neen. lit. 'to noun/pronoun beg as if for fonio when one is starving. An dang Mansát nkusuk neen I begged Mānsát earnestly,
dangbe,,dáŋbē,but,Mu kì sat nri dangɓe ri kikwar kiling ni. We have told him but he refuses to hear it,
dang-đáng,,dan dan,begging as a habit or livelihood,"Begging in Mwaghavul land is taboo, it is such a humiliating thing that the entire lineage or clan would be looked down upon. It shows that the family is poor and that any girl marrying into such a family would not be properly catered for. To discourage the practice right from childhood when an item is being shared out to children, the child that tries to jump the queue or stretches out his hand when it is not his turn would be denied or smacked. Each child should wait for his turn. It is believed that when the child gets used to such undue advantages he would eventually become a beggar. Ba dang-đáng a mise mu nyem Mwaghavul mo kas Begging is not Mwaghavul a tradition",
dangkwaali,,"dánk""áálí",scarf usually tied headgear or on the neck as,< H. cf. níngkii. Taji yi cèt mbiise ndin ndiin dangkwaali Don't cook food without wearing a scarf,
dangmukaat,,dǎŋmūkāāt,Goodbye! Good day!,lit. 'till we meet'. Ri so ndin nsat dangmukaat He left without saying goodbye,
dang Naan,,dangnāān,to pray,lit. 'beg God'. A mee luunaan ngunan dang Naan mmun It was a church elder who prayed for us,
dangnaan,,dangnāān,prayer,Dangnaan ambii cin shidaar Prayer is a daily practice. cf. aduwa,
dar,dirang,dár; dīrāŋ,to stand; to stop; to halt,Dar kisi kas Don't keep standing (A polite way of asking s.o. to take a seat or go and attend to his commitments),
dar yóng,,dǎr yoŋ,to stand still deeply in thought,Mo sat mee pòo nri ɓe ri dar yóng S.t. was said to him and he stood still in deep thought,
dee,,δέ,to remain; to be left; to be over,Pak gurum mo dee di Some people are left. Also baa,
dee,,δεέ,without,Said when an action is done and s.O. or s.t. is left out. Mo so dee mun di They left without us. Ra vwang tughul dee daa di She did the pot without the dish,
dee,,δέ,and,Làa ni wal dee mo cin mbiise nri The child cried and he was given food,
dee,,δέ,to be postponed; to be delayed; to be pot off; to stay away for a long time,Dak ni kì dee The work has been postponed. Also bèn,
dee,,δέ,to be in trouble; to perish,Doghon gurum mo táa dee a ar ndìlòs Yesterday people all perished on the road,
dee,,δέ,to become,mo dee a wát mo they became thieves,
dee (be),,déé,then; therefore,dee wuri ki mwaan aase gùsmèt-gùsmè He now walks sluggishly gùsmèt- gùsmèt [as a result of over-eating],
deet,,dēēt,to drain off a liquid,A we sighit deet wáar di ni dee ntughul ni 'e? Who drained off the little corn drink that was left in the pot?,
deet,,dεēt,to sieve a liquid,"Wu deet wáar wu cin ngurum mo wa Please sieve the corn drink and serve people. Àm ni rap, deeɓe mo deet The water was dirty, so it was sieved",
deet,,deèt,to be bitter,Mwos ni dòghòm deet The beer is satisfactorily bitter,
deet,,deet,to be strict; to be tasking and requiring attention,Dak ni dèet a mun The work is tasking to us. Gwar ni gyar deet The man is too strict,
deet-deet,,deet-deèt,describes s.t. very bitter,XXX,
deet-deet,,deet-deèt,describes s.o. very strict,,
del,,dēl,to pass; to enter; to move past s.t.; to rush by,"doghon wan naa mee nyer sham del jéghérék-jéghérék Yesterday, I saw a bird with long neck fly past jéghérék- jéghérék randong mó del pwat nkuut long gùtùtùt The cows came out of the pen gùtùtùt",
del cwel,,děl tfwél,to miss narrowly,,
del diki,,děl diki,"to commit wrongdoing, mistake, sin, fault, transgression",lit. 'to pass on it',
del diki,,děl diki,wrongdoing; mistake; sin; fault; transgression,,
del ndem,,děl ndem,to lose direction; to go off at a tangent,,
del nɗem (ki mengo),,děl ndem (ki mèŋgó),to commit adultery; to fornicate,lit. 'enter inside- grass'. Tenle ki del ndem ki mat kì shaar firi mo Tenle commits adultery with his friends' wives,
del nkún,,"del ""kún",to be in trouble,lit. 'to enter three',
del so,,del sò,to go away; to leave; to depart; to quit,,
dem,,dēm,greed; compulsive desire for meat etc,cf. demdem,
